CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA
Fisiología Fúngica/Fisiología y Biotecnología Fúngica,,Teórico,Viernes,14:00,16:30,2,115,BBE
Física 3,,Teórico-Práctico,Viernes,10:00,15:00,2,117,DF
Paleobiología,,Teórico,Viernes,15:00,20:00,2,117,EGE
Física 1 (FISI870007),,Teórico-Práctico,Viernes,9:00,14:00,2,203,DF
Álgebra Lineal,,Teórico-Práctico,Viernes,9:00,14:00,2,207,DM
Sistemática Teórica/Análisis Cladístico,,PC,Viernes,9:00,13:00,2,Sala A,EGE
Ecología de Regiones y Paisajes/Fundamentos de la Ecología de Paisajes y Regiones,,PC,Viernes,17:00,21:00,2,Sala A,EGE
Oceanografía Satelital/Teledetección Satelital y Aplicaciones Oceanográficas,,PC,Viernes,9:00,13:00,2,Sala B,DCAO
Geología Regional,,,Viernes,17:00,20:00,2,Sala B,
Inmunometabolismo: Principios básicos ,03/10/2025-10/10/2025,,Viernes,9:00,17:00,2,SEMINARIO,
Nomenclatura Zoológica,08/11/2025-14/11/2025,,Viernes,9:00,17:30,2,SEMINARIO,
Fisica 1,26/09/2025,Parcial,Viernes,9:00,14:00,2,Magna,
Ecología General,,Teórico,Viernes,15:00,17:30,2,Magna,EGE
Introducción a la Botánica/Biodiversidad de Vegetales,,Teórico,Viernes,18:00,21:00,2,Magna,BBE
SAN2025,03/10/2025,,Viernes,9:00,15:00,2,Magna,
ROUNA,28/11/2025,,Viernes,9:00,16:00,2,Magna,
(CBC)-INTROD. AL PENSAMIENTO COMPUTACIONAL,,MOCSKOS - OJEA,Viernes,7:00,11:00,0,1105,CBC
(CBC)-INTROD. AL PENSAMIENTO COMPUTACIONAL,,MOCSKOS - OJEA,Viernes,7:00,11:00,0,1106,CBC
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,SILVA,Viernes,7:00,10:00,2,101,CBC
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,GHIRARDOSI,Viernes,10:00,13:00,2,101,CBC
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,GHIRARDOSI,Viernes,14:00,17:00,2,101,CBC
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,SILVA,Viernes,17:00,20:00,2,101,CBC
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,SILVA,Viernes,20:00,23:00,2,101,CBC
(CBC)-QUIMICA-(05),,IDOYAGA,Viernes,7:00,10:00,2,102,CBC
(CBC)-QUIMICA-(05),,DI RISIO,Viernes,10:00,13:00,2,102,CBC
(CBC)-QUIMICA-(05),,DI RISIO,Viernes,13:00,16:00,2,102,CBC
(CBC)-QUIMICA-(05),,DI RISIO,Viernes,17:00,20:00,2,102,CBC
(CBC)-QUIMICA-(05),,DI RISIO,Viernes,7:00,10:00,2,103,CBC
(CBC)-QUIMICA-(05),,IDOYAGA,Viernes,10:00,13:00,2,103,CBC
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Viernes,13:00,15:00,2,103,CBC
