CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Jueves,13:00,15:00,2,208,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,MIGUEL,Jueves,15:00,17:00,2,208,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,MIGUEL,Jueves,17:00,19:00,2,208,CBC,
(CBC)-BIOLOGIA E INTROD. A LA BIOLOGIA CELULAR B,,VALERANI,Jueves,10:00,13:00,2,210,CBC,
(CBC)-PSICOLOGIA,,STASIEJKO,Jueves,13:00,15:00,2,210,CBC,
(CBC)-PSICOLOGIA,,STASIEJKO,Jueves,15:00,17:00,2,210,CBC,
(CBC)-PSICOLOGIA,,STASIEJKO,Jueves,17:00,19:00,2,210,CBC,
(CBC)-PSICOLOGIA,,STASIEJKO,Jueves,19:00,21:00,2,210,CBC,
(CBC)-PSICOLOGIA,,STASIEJKO,Jueves,21:00,23:00,2,210,CBC,
(CBC)-SOCIOLOGIA,,DELICH,Jueves,7:00,9:00,2,211,CBC,
(CBC)-SOCIOLOGIA,,DELICH,Jueves,9:00,11:00,2,211,CBC,
(CBC)-SOCIOLOGIA,,GAMALLO,Jueves,11:00,13:00,2,211,CBC,
(CBC)-SOCIOLOGIA,,GAMALLO,Jueves,13:00,15:00,2,211,CBC,
(CBC)-SOCIOLOGIA,,GAMALLO,Jueves,15:00,17:00,2,211,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,MIGUEL,Jueves,19:00,21:00,2,211,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,MIGUEL,Jueves,21:00,23:00,2,211,CBC,
(CBC)-BIOLOGIA E INTROD. A LA BIOLOGIA CELULAR B,,VALERANI,Jueves,7:00,10:00,2,213,CBC,
(CBC)-BIOLOGIA E INTROD. A LA BIOLOGIA CELULAR B,,SKERL,Jueves,10:00,13:00,2,213,CBC,
(CBC)-ANALISIS MATEMATICO A (66),,UNICA,Jueves,14:00,17:00,2,213,CBC,
(CBC)-ANALISIS MATEMATICO A (66),,UNICA,Jueves,17:00,20:00,2,213,CBC,
(CBC)-ANALISIS MATEMATICO A (66),,UNICA,Jueves,20:00,23:00,2,213,CBC,
(CBC)-BIOLOGIA E INTROD. A LA BIOLOGIA CELULAR B,,VALERANI,Jueves,7:00,10:00,2,214,CBC,
(CBC)-BIOLOGIA E INTROD. A LA BIOLOGIA CELULAR B,,VALERANI,Jueves,10:00,13:00,2,214,CBC,
(CBC)-BIOLOGIA E INTROD. A LA BIOLOGIA CELULAR B,,SKERL,Jueves,13:00,16:00,2,214,CBC,
