CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE,
Física Teórica 3 ,,Teórico-Práctico,Miércoles,9:00,14:00,1,8,DF,Perez Nadal/Zanguinetti,2º cuatrimestre de 2025
Mecánica y Termodinámica,,Teórico-Práctico,Miércoles,17:00,21:00,1,8,DF,Balenzuela/Cornes,2º cuatrimestre de 2025
Matemática I ,,Teórico-Práctico,Miércoles,9:00,14:00,1,9,DM,Rodríguez Cartabia/Kun,2º cuatrimestre de 2025
Física 4 ,,Teórico-Práctico,Miércoles,17:00,22:00,1,9,DF,Tamborenea/Vigh,2º cuatrimestre de 2025
Introducción a la Computación e Información Cuántica-Teoría de la Computación e Información Cuántica ,,Teórico-Práctico,Miércoles,13:00,16:00,1,E24,DM,Mansilla,2º cuatrimestre de 2025
Métodos Efectivos de Resolución de Polinomios,,Teórico-Práctico,Miércoles,16:00,19:00,1,E24,DM,Krick,2º cuatrimestre de 2025
Climatología (ATMO890003),,PC,Miércoles,8:00,13:00,1,Labo 1,DCAO,Robleto/Ayala,2º cuatrimestre de 2025
Estadística para el Sistema Climático 1-Probabilidades y Estadística ,24/09/2025,,Miércoles,17:00,20:00,1,Labo 1,,,
Métodos Avanzados de Síntesis y Procesamiento de Imágenes-Procesamiento y Síntesis Avanzada Imágenes,8/10/2025,PC,Miércoles,13:00,17:00,1,Labo 1,DC,Acevedo,3º bimestre de 2025
"Infraestructura Tecnológica: Fundamentos, Gestión y Automatización - 4to.bimestre",15/10/2025,PC,Miércoles,17:00,20:00,1,Labo 1,DC,Dunayevich,4º bimestre de 2025
Reserva Pickholz/Saragueta,26/11/2025,,Miércoles,13:00,18:00,1,Labo 1,,,
Pronóstico del Tiempo-Laboratorio de Pronóstico del Tiempo-Técnicas y metodologías para el pronóstico del tiempo – Módulo 1-Técnicas y metodologías para el pronóstico del tiempo – Módulo 2 ,,PC,Miércoles,8:00,13:00,1,Labo 2,DCAO,Mezher/Saucedo,3º bimestre de 2025
Estructura y Función de Biomoléculas,,,Miércoles,13:00,17:00,1,Labo 2,,,
Química Física I,,PC,Miércoles,17:00,22:00,1,Labo 2,QI,,3º bimestre de 2025
Algoritmos y Estructuras de Datos-Algoritmos y Estructuras de Datos II,Turno Mañana,Práctica,Miércoles,9:00,14:00,1,Magna,DC,Feuerstein/Tcach/Uchitel,2º cuatrimestre de 2025
Algoritmos y Estructuras de Datos-Algoritmos y Estructuras de Datos II,,Práctica,Miércoles,17:00,22:00,1,Magna,DC,Feuerstein/Tcach/Uchitel,2º cuatrimestre de 2025
Complejidad Computacional-Lógica y Computabilidad-Teoría de la Complejidad Computacional,,Teórico-Práctico,Miércoles,17:00,22:00,2,2,DC,Abriola,2º cuatrimestre de 2025
Algoritmos y Estructuras de Datos III-Técnicas de Diseño de Algoritmos,,Teórico,Miércoles,9:00,13:00,2,5,DC,Bemdersky/Bianchi/Gaggion/Lin,2º cuatrimestre de 2025
Algoritmos y Estructuras de Datos III-Técnicas de Diseño de Algoritmos,,Teórico,Miércoles,17:00,21:00,2,5,DC,Bemdersky/Bianchi/Gaggion/Lin,2º cuatrimestre de 2025
Genética ,,Teórico,Miércoles,10:00,13:00,2,6,EGE,Carcagno/Frankel,2º cuatrimestre de 2025
Química Orgánica ,,Teórica,Miércoles,15:00,17:00,2,6,QO,Duran Fernando,2º cuatrimestre de 2025
Lenguajes Formales Autómatas y Computabilidad-Teoría de Lenguajes,,Teórico-Práctico,Miércoles,17:00,22:00,2,6,DC,Becher,2º cuatrimestre de 2025
Análisis II-Matemática 3,,Teórico-Práctico,Miércoles,9:00,14:00,2,12,DM,Pinasco/Guadalupe,2º cuatrimestre de 2025
Análisis II-Matemática 3,,Teórico-Práctico,Miércoles,14:00,19:00,2,12,DM,Mastroberti,2º cuatrimestre de 2025
Cálculo Numérico-Elementos de Cálculo Numérico,,Teórico,Miércoles,19:00,21:00,2,12,DM,Etcheverry/Pedersen,2º cuatrimestre de 2025
Psicología y Aprendizaje,,Teórico-Práctico,Miércoles,18:00,22:00,2,15,CCPEMS,Acevedo,2º cuatrimestre de 2025
Evaluación en Matemática: procesos y resultados,,Teórico-Práctico,Miércoles,15:00,19:00,2,111,CCPEMS,Bifano,2º cuatrimestre de 2025
Limnología,,Teórico,Miércoles,10:30,12:30,2,112,EGE,Izaguirre/Vera,2º cuatrimestre de 2025
Limnología,,Práctica,Miércoles,13:30,17:00,2,112,EGE,Izaguirre/Vera,2º cuatrimestre de 2025
