CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE,
Mecánica Cláisca,NO 02/10/2025,,Jueves,9:00,14:00,1,8,DF,Rodrigues Ferreira/Badia,2º cuatrimestre de 2025
Física 3,02/10/2025,,Jueves,9:00,14:00,1,8,,,
Introducción al Modelado Continuo/Ecuaciones de la Física Matemática,,,Jueves,14:00,16:00,1,8,DF,Mindlin,2º cuatrimestre de 2025
Física Teórica 2 ,,,Jueves,16:00,21:00,1,8,DF,Roncaglia/Paz/Ferro,2º cuatrimestre de 2025
Organización del Computador I/Sistemas Digitales,,Turno Mañana,Jueves,8:00,10:00,1,9,DC,Buemi,2º cuatrimestre de 2025
Coloquio del Departamento de Física,09/10/2025,,Jueves,13:30,17:00,1,9,,,
Organización del Computador I/Sistemas Digitales,,Turno Noche,Jueves,17:00,19:00,1,9,DC,Buemi,2º cuatrimestre de 2025
Grupos de Difeomorfismos/Difeomorfismos como Grupos de Lie/Frechet,,,Jueves,13:00,16:00,1,E24,DM,Larotonda,2º cuatrimestre de 2025
DOV/DCAO,24/10/2025-31/10/2025,,Jueves,9:00,12:00,1,Labo 1,,,
Análisis Numérico/Tópicos de Análisis Numérico,,,Jueves,9:00,12:00,1,Labo 2,DM,Ojea/Mendiluce,2º cuatrimestre de 2025
Herramientas de visualización de datos,,octubre,Jueves,14:00,18:00,1,Labo 2,IC,,4º biimestre de 2025
Algoritmos y Estructuras de Datos I/Introducción a la Programación/Introducción a la Computación,,Turno Mañana,Jueves,9:00,13:00,1,Magna,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,2º cuatrimestre de 2025
Química General e Inorgánica I/Química General ,9/10/2025,,Jueves,13:00,17:00,1,Magna,,,
Summer school Deep Learning / secretaria.liaa,23/10/2025,,Jueves,9:00,17:00,1,Magna,,,
Algoritmos y Estructuras de Datos I/Introducción a la Programación/Introducción a la Computación,NO 9/10/2025,Turno Tarde,Jueves,13:00,17:00,1,Magna,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,2º cuatrimestre de 2025
Algoritmos y Estructuras de Datos I/Introducción a la Programación/Introducción a la Computación,,Turno Noche,Jueves,17:00,22:00,1,Magna,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,2º cuatrimestre de 2025
Física 3,,Turno A,Jueves,9:00,14:00,2,3,DF,Bertucci/Buccino,2º cuatrimestre de 2025
Análisis I/Matemática 1,,Turno 1,Jueves,9:00,14:00,2,5,DM,Larotonda/Saintier/Slezak/Raffa,2º cuatrimestre de 2025
Análisis I/Matemática 1,,Turno Tarde,Jueves,14:00,19:00,2,5,DM,Maas/Villafañe,2º cuatrimestre de 2025
Análisis I/Matemática 1,,Turno 2,Jueves,9:00,14:00,2,6,DM,Larotonda/Saintier/Slezak/Raffa,2º cuatrimestre de 2025
Probabilidad/Probabilidades y Estadística/Probabilidades,,,Jueves,14:00,19:00,2,6,DM,Merzbacher/Fernández Vidal,2º cuatrimestre de 2025
Análisis Avanzado,,Turno Mañana,Jueves,9:00,13:00,2,12,DM,Turco/De Vita,2º cuatrimestre de 2025
Análisis I/Matemática 1,,Turno Noche,Jueves,17:00,22:00,2,12,DM,Cesaratto/Honore,2º cuatrimestre de 2025
Didáctica General ,,,Jueves,9:00,15:00,2,15,CCPEMS,Schneider,2º cuatrimestre de 2025
Didáctica General ,,,Jueves,16:00,22:00,2,15,CCPEMS,Ziegler,2º cuatrimestre de 2025
Química Inorgánica 1,,Turno 1,Jueves,9:00,13:00,2,111,QI,Di Salvo,2º cuatrimestre de 2025
Química Inorgánica 2 ,,Turno 1,Jueves,13:00,15:00,2,111,QI,Baraldo,2º cuatrimestre de 2025
Química Inorgánica 2 ,,Turno 2,Jueves,18:00,20:00,2,111,QI,Baraldo,2º cuatrimestre de 2025
Genética y Ecología Molecular,18/09/2025,,Jueves,14:00,17:00,2,112,,,
Meteorología y Oceanografía Teórica,,,Jueves,8:00,13:00,2,113,DCAO,Simionato/Kahl,2º cuatrimestre de 2025
Neurofisiología Integrativa/Neurobiología,,,Jueves,14:00,17:00,2,113,FBMC,Delorenzi,2º cuatrimestre de 2025
Biología de la Conservación/Conservación de la Biodiversidad,,,Jueves,14:00,16:00,2,114,EGE,Bilenca,2º cuatrimestre de 2025
Biología de la Conservación/Conservación de la Biodiversidad,,,Jueves,17:00,20:00,2,114,EGE,Paris,2º cuatrimestre de 2025
Fisiología y Comportamiento de Insectos/Tópicos en Fisiología y Comportamiento de Insectos,,,Jueves,10:00,12:30,2,115,BBE,Farina,2º cuatrimestre de 2025
Histología Animal/De los Tejidos a la Organografía Animal/Organografía Microscópica de Vertebrados/Morfología Funcional de los Tejidos Animales,,,Jueves,14:00,16:00,2,115,BBE,Hermida,2º cuatrimestre de 2025
Genética y Ecología Molecular+Genética y Ecología Molecular I,,,Jueves,17:30,20:00,2,115,EGE,Confalonieri,2º cuatrimestre de 2025
Micología Avanzada,,,Jueves,10:00,13:00,2,116,BBE,Carmaran,2º cuatrimestre de 2025
Invertebrados II 2023,,,Jueves,14:30,17:00,2,116,BBE,Mougaubure,2º cuatrimestre de 2025
Química Analítica,,,Jueves,18:00,21:00,2,116,QI,Antontel/Battaglini,2º cuatrimestre de 2025
Procesos Atmosféricos en Pequeña Escala,,,Jueves,8:00,13:00,2,117,DCAO,Gassmann/Burek,2º cuatrimestre de 2025
Modelos Numéricos,,,Jueves,14:00,19:00,2,117,DCAO,Moreira/Dinapoli,2º cuatrimestre de 2025
Análisis Instrumental,,,Jueves,18:00,20:00,2,203,QO,Cabrera/Etchenique,2º cuatrimestre de 2025
Análisis Avanzado,,Turno Noche,Jueves,17:00,21:30,2,207,DM,Di Ioro/Herrera,2º cuatrimestre de 2025
Taller de Anillado y Muestreo,02/10/2025,,Jueves,9:00,14:00,2,212,,,
Tecnología de Alimentos II (Carmen Campos),,,Jueves,14:00,22:00,2,212,,,
Concurso DBBE,9/10/2025,,Jueves,9:00,12:00,2,212,,,
Concurso DBBE,16/10/2025,,Jueves,9:00,12:00,2,212,,,
Levantamiento Geológic,,,Jueves,9:00,13:00,2,Sala A,,,
Genética y Ecología Molecular/Genética y Ecología Molecular I,,,Jueves,14:00,17:00,2,Sala A,EGE,Confalonieri,2º cuatrimestre de 2025
Biología de la Conservación/Conservación de la Biodiversidad,2/10/2025-6/11/2025-13/11/2025,,Jueves,17:00,20:00,2,Sala A,EGE,Paris,2º cuatrimestre de 2025
Convección y Fenómenos Severos 1/Dinámica de Tormentas Severas en Latitudes Medias,,,Jueves,8:00,13:00,2,Sala B,DCAO,Salio/Cancelada,3º bimestre de 2025
Levantamiento Geológico	,,,Jueves,13:00,16:00,2,Sala B,,,
Química Inorgánica 1,,Turno 2,Jueves,18:00,22:00,2,SEMINARIO,QI,Albores,2º cuatrimestre de 2025
Inmunometabolismo: Principios básicos (Pèrez Leiros),02/10/2025-09/10/2025,,Jueves,9:00,17:00,2,SEMINARIO,,,
Nomenclatura Zoológica,07/11/2025-13/11/2025,,Jueves,9:00,17:30,2,SEMINARIO,,,
Fundamentos de Lenguajes para Computación Cuántica,20/11/2025,,Jueves,14:00,18:00,2,SEMINARIO,,,
Mecánica Cláisca,2/10/2025,,Jueves,9:00,14:00,2,Magna,,,
Introducción a la estadística y ciencia de datos   Estadística,2/10/2025,,Jueves,17:00,22:00,2,Magna,,,
Matemática 2,9/10/2025,,Jueves,9:00,13:00,2,Magna,,,
Química General e Inorgánica I/Química General ,9/10/2025,,Jueves,13:00,17:00,2,Magna,,,
Física 2 ,9/10/2025,,Viernes,17:00,22:00,2,Magna,DF,Skigin/Etchemendy,2º cuatrimestre de 2025
Introducción a la Biología Molecular y Celular,NO 02/10/2025-09/10/2025,,Jueves,9:30,12:30,2,Magna,FBMC,Colman,2º cuatrimestre de 2025
Química Biológica ,NO 02/10/2025-09/10/2025,,Jueves,18:30,21:00,2,Magna,QB,Santos,2º cuatrimestre de 2025
ACTO DE COLACIÓN DE GRADO,30/10/2025,,Jueves,12:30,16:00,2,Magna,,,
ROUNA,27/11/2025,,Jueves,9:00,16:00,2,Magna,,,
ACTO DE COLACIÓN DE GRADO,18/12/2025,,Jueves,12:30,16:00,2,Magna,,,
Química General e Inorgánica I/Química General ,9/10/2025,,Jueves,13:00,17:00,2,Parlante,,,
(CBC)-QUIMICA-(05),,DI RISIO,Jueves,7:00,10:00,2,101,CBC,,
(CBC)-QUIMICA-(05),,DI RISIO,Jueves,10:00,13:00,2,101,CBC,,
(CBC)-QUIMICA-(05),,DI RISIO,Jueves,13:00,16:00,2,101,CBC,,
(CBC)-QUIMICA-(05),,IDOYAGA,Jueves,17:00,20:00,2,101,CBC,,
(CBC)-QUIMICA-(05),,DI RISIO,Jueves,7:00,10:00,2,102,CBC,,
(CBC)-QUIMICA-(05),,DI RISIO,Jueves,10:00,13:00,2,102,CBC,,
(CBC)-QUIMICA-(05),,DI RISIO,Jueves,13:00,16:00,2,102,CBC,,
(CBC)-TRABAJO Y SOCIEDAD,,CAGNACCI,Jueves,7:00,9:00,2,104,CBC,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Jueves,7:00,9:00,2,107,CBC,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Jueves,9:00,11:00,2,107,CBC,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Jueves,11:00,13:00,2,107,CBC,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,MIGUEL,Jueves,17:00,19:00,2,107,CBC,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,MIGUEL,Jueves,19:00,21:00,2,107,CBC,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,MIGUEL,Jueves,21:00,23:00,2,107,CBC,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Jueves,7:00,9:00,2,108,CBC,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Jueves,9:00,11:00,2,108,CBC,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Jueves,11:00,13:00,2,108,CBC,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,MIGUEL,Jueves,13:00,15:00,2,108,CBC,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,MIGUEL,Jueves,15:00,17:00,2,108,CBC,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Jueves,7:00,9:00,2,109,CBC,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Jueves,9:00,11:00,2,109,CBC,,
(CBC)-PRINCIPIOS DE DDHH Y DERECHO CONSTITUCIONAL,,HALPERIN,Jueves,15:00,17:00,2,109,CBC,,
